head,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
pa:10001,-0.049966188,-0.24836391,0.2454599,0.111174379,0.279522902,0.190913067,0.14258219,-0.330764485,0.365084907,-0.019002932,-0.011511048,0.283102744,-0.539739627,0.15839674,0.265349648,-0.134707717
pa:10002,-0.047897709,-0.264099067,0.246904652,0.120990751,0.26303242,0.272857473,0.092653035,-0.367737764,0.338034513,-0.01818848,0.000282741,0.272173819,-0.519425524,0.152308121,0.255132392,-0.134662256
pa:10003,-0.050688956,-0.252003147,0.179255143,0.144110661,0.284176429,0.19114485,0.063703613,-0.449454948,0.250551806,-0.018891544,-0.001124893,0.284698608,-0.544694702,0.159422912,0.267049177,-0.141609852
pa:10004,-0.045837927,-0.250053539,0.212445279,0.074422954,0.259311449,0.241069411,0.132336484,-0.403296072,0.245054231,-0.007291181,-0.097845283,0.257839574,-0.590090354,0.144353392,0.241797233,-0.124549877
pa:10005,-0.049397071,-0.251779838,0.243001725,0.096929193,0.254185045,0.204748681,0.074421809,-0.3785824,0.357515343,-0.019189653,0.004537766,0.282309288,-0.536848517,0.15786655,0.2645406,-0.138967416
pa:10006,-0.051016254,-0.273500759,0.206928012,0.09051782,0.258036695,0.260975257,0.180729848,-0.376893337,0.253557056,-0.018607635,-0.001790662,0.285433434,-0.546593146,0.159806566,0.267704432,-0.141768711
pa:10007,-0.05390071,-0.286844749,0.193069702,0.03939827,0.256750397,0.18470362,0.152605587,-0.35813213,0.264486477,-0.019682395,-0.00095685,0.30129356,-0.576730819,0.168672619,0.282561848,-0.149579689
pa:10008,-0.050112182,-0.249287422,0.222573287,0.049780364,0.246513967,0.187357199,0.140210266,-0.401666991,0.344126739,-0.019069946,0.002442597,0.283624424,-0.540217761,0.15867068,0.265789939,-0.139888852
pa:10009,-0.050370622,-0.246741312,0.227775975,0.048518113,0.268786206,0.179149636,0.138938516,-0.448288448,0.259947048,-0.01864718,-0.000469852,0.283462845,-0.54208166,0.158617695,0.265801716,-0.140727826
pa:10010,-0.050769592,-0.251701999,0.218581985,0.047730968,0.264644431,0.202258805,0.171839051,-0.338373577,0.363127005,-0.018733475,-0.009557998,0.285422548,-0.545939682,0.159836433,0.267729353,-0.141404414
pa:10011,-0.046945431,-0.258790587,0.149302307,0.125444643,0.277643872,0.237965499,0.109383309,-0.400026151,0.234112806,-0.007531865,-0.098102971,0.26150434,-0.597178498,0.146440832,0.245303357,-0.126418486
pa:10012,-0.137968988,-0.230602935,0.203423004,0.091219675,0.419578316,0.160958479,0.072893696,-0.310222524,0.232756758,-0.016603472,-0.003048343,0.258159782,-0.572178399,0.144573636,0.242157139,-0.21573806
pa:10013,-0.051041427,-0.228607234,0.127844712,0.090190166,0.341733957,0.192248628,0.081938968,-0.44648586,0.254060934,-0.018325831,-0.009979566,0.284927616,-0.546600849,0.159572806,0.267321895,-0.137791953
pa:10014,-0.048972417,-0.250545876,0.241732517,0.117400451,0.25913913,0.191277464,0.073382122,-0.389002053,0.351946258,-0.019458192,0.005383585,0.281489694,-0.534145018,0.157356118,0.2636751,-0.138045911
pa:10015,-0.047635543,-0.23924448,0.179693846,0.040817584,0.244764834,0.169706111,0.074156545,-0.381540697,0.316954226,-0.017435492,-0.001774145,0.267321126,-0.597144189,0.14968389,0.250735465,-0.229503952
pa:10016,-0.048965475,-0.216706919,0.058031982,0.014295002,0.284881773,0.233988949,0.076870467,-0.355509103,0.339341258,-0.01759242,-0.003056142,0.272896965,-0.591052805,0.152839833,0.256002064,-0.225121358
pa:10017,-0.050427707,-0.25469166,0.190653394,0.109383956,0.270959208,0.192177704,0.076966084,-0.451144344,0.272405657,-0.019028118,0.001181919,0.284002514,-0.541670943,0.158966911,0.266295924,-0.140186785
pa:10018,-0.049827096,-0.243972207,0.238072071,0.154924796,0.233560471,0.166787234,-0.006352513,-0.333654566,0.344351128,-0.018064347,-0.039812885,0.278717105,-0.57176995,0.156077784,0.261446061,-0.213946528
pa:10019,-0.049973297,-0.24648682,0.24034965,0.119633025,0.257704643,0.196038639,0.090761839,-0.361589505,0.365191567,-0.019535604,0.00395637,0.283906058,-0.539430497,0.158830436,0.266031701,-0.139604196
pa:10020,-0.050246631,-0.240634213,0.220456287,0.142387092,0.259150201,0.186839049,0.046287985,-0.334644694,0.35946976,-0.018698876,-0.089917717,0.282437898,-0.568898581,0.158006642,0.264800394,-0.13543495
pa:10021,-0.049491007,-0.251406673,0.202290638,0.137714868,0.26485707,0.19644155,0.031651089,-0.429567488,0.313188566,-0.019033243,-0.006718301,0.282123383,-0.537735287,0.157834685,0.264473823,-0.1344781
pa:10022,-0.05179494,-0.251330542,0.215550383,0.037454452,0.237431773,0.18551563,0.086367206,-0.456719314,0.256027211,-0.019118979,-0.001396549,0.290069313,-0.555158375,0.162414296,0.272033619,-0.144237921
pa:10023,-0.051089964,-0.236125457,0.169698949,0.112310142,0.292596013,0.204625718,0.077414058,-0.350321489,0.371753823,-0.019484521,0.002294982,0.288647759,-0.550008399,0.161500388,0.270578855,-0.142524428
pa:10024,-0.050183179,-0.246693715,0.225111919,0.048584223,0.237456543,0.189183165,0.117694025,-0.430804019,0.320688922,-0.019370036,-0.006040898,0.284356211,-0.541564763,0.159079893,0.266521617,-0.134996605
pa:10025,-0.050270962,-0.25166207,0.236340226,0.076751048,0.258545853,0.191997245,0.121578942,-0.352471833,0.368182823,-0.019410465,0.002960213,0.285602561,-0.543329436,0.159761322,0.267656052,-0.140647126
pa:10026,-0.052046379,-0.254718689,0.261525028,0.130167786,0.279846291,0.199312124,0.077485804,-0.34602256,0.267068099,-0.019069164,-0.11485865,0.291425994,-0.557873209,0.163137141,0.273289655,-0.144781005
pa:10027,-0.050893794,-0.249210608,0.167212775,0.137164254,0.297672985,0.192929677,0.036581474,-0.448426474,0.252292245,-0.018297073,-0.001890934,0.284978396,-0.545986745,0.159540591,0.267286806,-0.141685539
pa:10028,-0.048387499,-0.262324722,0.208228521,0.116932207,0.338787384,0.229975982,0.152791521,-0.331251648,0.343352961,-0.017751778,-0.001307372,0.270844407,-0.519875259,0.151612855,0.253978298,-0.147468245
pa:10029,-0.046136805,-0.23406975,0.196758315,0.083159689,0.277871068,0.163787437,0.096091356,-0.374277802,0.310695681,-0.017218438,0.000376554,0.260929864,-0.587405053,0.146012188,0.244638139,-0.230157362
pa:10030,-0.051778441,-0.258233099,0.179021182,0.03752281,0.244476125,0.197346447,0.10671685,-0.454349626,0.256022172,-0.018839129,-0.001827695,0.290271386,-0.555973485,0.162511626,0.272273778,-0.144323291
