PA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F0,LABEL
0,0.073205,-0.052715,0.063936,0.382742,0.252351,-0.123835,0.352386,0.875209,0.172172,-0.132155,A
1,-0.026412,1.017653,-3.200789,0.04783,0.237519,0.900168,0.330199,0.412094,0.334133,0.264365,A
2,0.070944,-0.216231,0.097303,-0.611634,0.181454,0.466475,0.566059,-0.686412,-0.575155,0.55335,H
3,0.028941,-2.299989,-3.210528,-0.554457,-0.721442,-0.478623,0.160292,0.331137,0.804724,-0.387919,A
4,0.209503,0.111791,0.271034,0.063727,0.24504,0.44889,0.864871,-0.00867,-0.067715,-0.176471,A
5,-0.194391,-0.132972,-3.189807,-1.673169,0.264038,-0.901867,0.057449,-0.235522,-0.299571,-0.356144,F
6,0.387469,-0.103687,-3.178013,-2.635209,0.229813,-0.682501,0.605348,-0.412334,0.234214,-0.848908,A
7,0.216557,0.24968,0.260658,-0.032685,0.261718,-0.787073,-0.025484,0.911921,0.38967,-1.023303,G
8,0.013603,0.128891,0.038442,-0.794509,0.261718,-0.757356,-0.124607,0.753117,0.924869,-0.547385,H
9,-0.284121,0.230487,0.248251,0.523855,0.261718,-1.361538,0.653277,1.365499,1.173419,-1.322316,E
10,-0.044011,-2.423904,-3.210528,-1.145296,-0.721469,0.791383,0.242745,-1.475878,-0.601854,-0.403894,A
11,-3.498799,-0.619527,0.141251,-5.440122,0.962132,-1.48822,-1.778383,-1.432077,-0.435089,-0.618573,I
12,0.113729,-0.12686,0.234427,-0.789983,0.187627,-0.023776,0.437403,-1.925867,-0.838155,-0.622703,F
13,0.156012,0.367669,0.252657,-0.009506,0.233923,0.044379,-0.119196,0.069109,-0.331635,0.330939,F
14,0.294681,-0.093741,0.134584,-0.093292,0.976743,-1.164412,-1.228807,-0.640297,1.303558,-0.479148,I
15,0.129448,-0.377897,-3.210985,0.17032,0.872291,-2.150643,-1.075268,-2.766676,0.777694,-1.525385,I
16,0.136528,0.610634,0.25789,-0.54175,0.261718,-0.128734,0.212927,-0.642502,0.234533,-0.089398,F
17,-0.160231,-0.322654,0.390494,0.753372,0.724145,0.490245,-0.751499,-0.12287,1.021246,1.528542,Y
18,-0.14354,0.759104,0.20002,0.183222,0.261718,-0.151081,0.125771,0.281899,-0.269725,-0.244346,A
19,0.116641,-0.110071,0.212746,0.567409,-0.190188,0.885463,0.897,-0.000606,0.056553,0.7371,A
20,0.006627,-0.106228,0.346788,-0.298659,0.247866,1.22477,0.152095,-0.784187,-0.680113,0.957106,F
21,0.424191,0.236135,0.325204,-0.799631,0.261559,-1.011765,0.309092,-0.258268,-0.23631,-0.819151,F
22,0.233012,-0.189057,0.262475,0.414843,0.236816,0.071698,-0.018641,-1.102265,-0.875129,0.260936,A
23,-0.074352,0.237797,0.471073,-0.151513,0.175744,-1.092726,0.153147,0.726919,0.047571,-0.970652,D
24,0.29375,-0.465857,0.35316,0.273288,0.260857,-0.597406,0.061115,0.677498,0.218006,-0.429596,A
25,0.111227,-0.171179,0.373348,1.525908,0.228959,0.936701,0.555351,0.65609,-0.025536,0.373725,A
26,0.199504,-0.09973,0.251936,-0.751678,0.255345,1.462765,0.563504,-1.105746,-0.453297,0.805598,H
27,-0.26486,-0.046477,-2.045105,0.199892,0.355137,-0.522821,0.393883,1.425035,2.356185,-0.198551,X
28,0.491065,-0.115033,0.08937,0.002242,0.976743,-1.020058,-1.578829,0.84946,1.68827,-0.189628,I
29,0.215151,0.33221,0.359075,-1.029228,0.251341,-1.055265,1.049369,-0.481085,-0.127201,-1.054084,F
30,0.440468,0.18695,0.228756,-1.54815,0.234114,0.038467,0.113041,0.50241,-0.056982,-0.248203,F
31,-0.035529,-0.085714,0.494425,-0.249695,0.159028,-0.321836,1.669006,-1.82749,-2.079715,-0.876239,F
32,0.033985,0.07753,0.256441,0.16311,0.265764,-0.415694,0.77521,-0.869317,-0.657737,-0.481548,A
33,-0.126926,-0.076115,0.264835,0.372722,0.261718,0.135994,0.235611,0.381423,0.091039,-0.174263,F
34,0.257796,0.127686,0.322074,-1.100701,0.255731,-0.325917,0.10229,1.253087,-0.08385,-0.175619,A
