Company,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,LABEL
0,0.237978,0.253317,0.5065,2.299741,-167.860599,0.126951,0.26638,2.882292,1.139818,0.767613,0.134302,0.661018,0.127041,0.040058,1651.353771,0.634877,0.472194,-0.117678,0.011276,10.970364,2.739726,0.150895,0.049829,0.09803,0.701859,2.005102,11.096472,9.335984,4.219385,0.591348,0.063755,1164.898322,3.132082,5.039762,0.131413,1.927098,20.852903,0.784059,0.121238,3.179334,-0.657301,-0.00602,156.179596,456.046123,-0.709638,-0.224389,76.688705,0.058202,-0.013344,0.529898,0.076216,-0.267836,8.409091,-0.623666,-780.252905,0.05069,0.253949,0.904486,0.093183,5.134695,5.654399,-231.204886,16.049944,44.959634,0.0
1,0.071585,0.269495,0.147475,0.93348,-222.839322,-0.342354,0.046736,4.209315,1.062683,0.504338,0.047568,1.166937,0.061189,0.000412,1939.28729,-0.022797,4.031022,0.064147,0.047603,23.929322,3.774278,0.113725,0.032202,0.374952,0.135192,-0.220489,-240.145181,-1.062363,3.962935,0.310684,0.080795,1435.642332,3.697145,2.359916,0.080208,1.319686,-3.582144,0.673961,0.055341,-0.365699,0.708475,0.070665,144.03556,85.806926,-1.014278,2.81141,32.338742,0.043644,0.020729,0.595154,0.394895,0.557626,-7.379371,7.970117,7861.634312,0.064571,-0.007061,0.955814,0.278004,2.405621,3.201332,207.955893,3.880984,73.152188,0.0
2,0.115393,0.537612,0.348246,6.28769,571.834091,,0.148514,4.979684,1.808581,0.71659,0.158023,0.195339,0.041843,0.160158,1325.718197,1.194731,2.38028,-0.064075,-0.016658,19.677604,4.031851,0.123844,0.159393,0.193775,0.774277,0.045312,13.798918,9.76304,4.771922,0.520861,0.094727,1511.731709,5.780366,0.399016,0.118381,1.02357,,0.714595,0.05258,-0.203347,0.731988,0.135502,69.3042,73.260468,-0.557282,-0.781737,-8.794355,0.08132,0.10045,1.221081,0.34936,0.217512,-1.770563,-2.527202,1045.498515,0.061123,0.222799,0.959184,0.253262,8.130108,5.02217,-132.886037,11.777643,52.978553,0.0
3,0.119083,-0.124146,0.615706,4.789928,-254.448893,,0.374801,3.142224,2.769282,0.345337,0.099796,0.533688,0.042018,0.301539,837.909676,0.078582,0.388619,-0.167723,0.046188,97.333541,1.473799,0.121969,0.007692,0.640882,0.664558,0.913317,-196.599401,3.499356,3.724164,0.534324,0.018641,515.131492,5.28665,-0.497905,0.081957,4.538134,,0.733628,0.057188,1.144445,1.703986,0.051031,87.224724,82.63396,1.142066,3.044147,13.914698,0.131607,-0.016993,0.753853,0.413783,-0.047138,16.620682,5.10045,3353.079605,0.068248,0.253895,0.941338,,50.753252,6.554854,-180.602181,4.171655,525.251245,0.0
4,-0.014792,0.189865,-0.191094,2.276417,188.107339,0.071483,-0.355764,-3.324928,0.1267,0.818591,-0.361879,0.662729,0.14061,0.089726,-202.798544,-1.74784,1.592675,-0.353841,-1.192264,272.607132,,-0.264087,-4.056672,-0.247906,-0.494312,0.356096,-1.572569,7.431924,4.077706,9.453029,-1.124331,,-0.542862,2.545074,-0.444808,0.560643,1.116476,0.32611,-1.907304,-1.103338,1.410945,-1.645809,523.963094,77.241955,-3.430229,1.717508,181.140991,-0.39161,-2.870665,3.677466,0.070933,0.158774,3.75607,4.901821,9806.664268,-1.30207,-0.279718,2.479667,-0.112867,13.462864,1.522278,,2.824838,63.517123,0.0
5,-0.055028,0.591873,0.020513,1.598461,609.796373,0.404913,0.004877,-2.081756,0.979491,0.473486,-0.04937,-0.49215,0.070289,0.051289,9532.269899,0.723839,4.411946,-0.080146,0.00066,35.852139,0.30686,-0.019152,-0.072262,0.027861,-0.233964,0.258791,-81.708148,3.101639,4.269647,0.57577,-0.122321,812.456279,6.634043,-0.64376,-0.010474,2.743526,,0.221197,-0.021331,0.031799,-0.341999,0.045964,87.126321,4.701323,-0.244578,0.903983,82.943197,-0.134169,-0.027653,3.766963,0.606403,0.277813,2.185763,9.471535,1197.896601,-0.017065,0.267561,1.040196,2.492487,39.616463,3.341568,190.828216,4.86352,57.252527,0.0
6,-0.025139,1.062052,-0.457852,2.618868,138.763251,-0.485599,-0.487737,-0.758804,0.974103,-0.142592,0.005873,-0.940664,-0.049913,-0.178423,-4903.534733,-1.225071,3.856721,-0.005556,0.089525,12.618697,3.55327,0.192561,-0.211073,-0.081954,-0.436057,-0.382309,-2.808419,2.13689,4.276325,1.247881,-0.05957,1598.283919,1.213926,0.519467,0.041004,0.497253,29.139491,0.179142,0.048945,0.846245,-0.368098,0.006172,91.182405,47.662232,0.232687,-0.638147,,-0.04727,-0.019982,0.520066,0.845686,0.920111,2.479556,7.324478,-858.158373,-0.061857,0.723546,1.13199,-0.558128,12.094586,12.720307,270.25516,0.344944,4.38124,0.0
7,0.04204,0.072593,0.927806,27.225763,2.388103,,0.046943,8.984569,0.980941,0.966372,0.094416,4.761857,0.011719,-0.046961,485.922137,0.788371,3.083108,-0.085802,0.017976,,2.671883,0.044194,-0.081255,-0.14502,0.865021,0.744317,-55.818694,,4.523233,-0.088596,-0.001755,1792.682393,20.64486,72.9649,0.107488,1.516239,,0.869768,0.018247,20.488869,0.119593,0.043626,143.494134,44.397775,-0.651645,5.099238,94.086976,-0.105248,-0.057975,6.503402,0.036793,0.141018,21.199199,,12992.298109,0.00033,-0.109621,1.019746,,,7.660196,-99.747641,8.845274,-3.223784,1.0
8,0.102562,0.318938,0.528819,0.943179,-168.099355,0.222936,-0.191573,8.920039,1.046611,0.273991,0.115834,0.840956,0.189064,-0.008359,1780.867746,1.071212,10.450057,0.362579,0.027505,14.450502,1.724301,0.048891,0.024398,0.176261,0.684867,0.362959,-309.100356,2.917982,2.935568,0.551249,-0.029369,2035.435906,9.434471,2.809655,0.108629,1.941859,82.725564,0.657313,0.001909,1.133275,1.794362,-0.037257,61.675818,91.178412,1.4212,2.26796,56.330293,0.060788,-0.035535,0.978007,0.415611,-0.154931,-3.713943,1.886952,625.791097,0.067968,0.147758,0.950588,-0.085079,34.707138,6.49289,227.012415,22.465607,1.25879,0.0
9,0.004437,0.197463,0.226077,2.390672,603.589534,-0.131281,-0.019004,1.127129,1.018655,0.742962,-0.01822,0.254865,0.102717,-0.002,3563.461613,0.211144,3.610425,-0.035317,0.053939,12.630103,2.534121,-0.001253,-0.050677,-0.044455,0.125549,0.87207,-194.807271,-0.527908,3.664106,0.539451,0.103222,506.851144,4.288553,5.66641,-0.002655,1.491862,46.210974,0.681945,-0.033403,-0.793757,0.851735,-0.029276,128.172359,72.029365,-1.805906,2.244829,50.2054,-0.009442,0.018658,1.040728,0.264058,-0.01785,27.191945,0.986114,8383.483655,-0.033556,0.009083,1.01228,0.147125,2.457936,6.58639,283.918778,3.358825,43.774548,0.0
