Color,fixed acidity2,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
White,6.4,0.22,0.46,7.9,0.049,31.0,127.0,0.9957,3.11,0.63,10.0,6
Red,10.4,0.32,0.42,1.5,0.095,6.0,12.0,0.9994,3.15,0.72,9.6,5
White,7.2,0.16,0.49,2.1,0.042,13.0,146.0,0.993,3.16,0.64,10.9,5
White,6.7,0.2,0.31,1.2,0.044,43.0,148.0,0.9914,3.12,0.4,11.1,6
White,6.7,0.49,0.24,8.9,0.051,45.0,225.0,0.99715,3.57,0.53,10.2,5
White,7.4,0.26,0.32,13.6,0.053,59.0,198.0,0.9982,3.12,0.6,9.4,5
White,6.0,0.2,0.31,18.2,0.044,34.0,130.0,0.99623,3.29,0.49,10.6,6
Red,7.4,0.6,0.47,1.8,0.068,4.0,18.0,0.99728,3.42,0.63,9.5,5
Red,6.9,0.59,0.03,2.9,0.079,12.0,30.0,0.9956,3.34,0.46,9.9,5
White,6.5,0.32,0.48,2.4,0.04,39.0,173.0,0.9916,3.34,0.45,11.2,7
White,7.2,0.33,0.23,4.1,0.068,12.0,58.0,0.9901,2.9,0.64,12.4,5
White,7.2,0.19,0.35,1.2,0.032,37.0,98.0,0.99194,3.08,0.67,10.4,5
White,6.0,0.29,0.28,18.9,0.047,37.0,122.0,0.9973,3.24,0.46,8.7,5
White,5.4,0.365,0.13,1.6,0.034,10.0,64.0,0.9909,3.48,0.46,13.1,6
White,7.0,0.13,0.36,5.0,0.053,11.0,96.0,0.99466,3.24,0.45,9.4,6
White,7.7,0.24,0.33,3.0,0.047,20.0,151.0,0.99366,3.18,0.54,10.8,5
Red,9.4,0.38,0.23,2.2,0.074,15.0,80.0,0.99546,3.17,0.58,9.3,5
White,5.9,0.19,0.35,15.4,0.048,25.0,159.0,0.99607,3.3,0.52,10.1,6
Red,7.8,0.49,0.27,4.6,0.114,34.0,162.0,0.99558,3.09,0.44,9.4,5
White,6.7,0.26,0.2,12.1,0.045,25.0,136.0,0.9981,3.11,0.51,9.0,6
White,6.8,0.31,0.29,4.5,0.014,26.0,105.0,0.99106,3.08,0.68,12.3,7
White,8.4,0.3,0.66,15.3,0.055,37.0,170.0,1.0004,2.99,0.48,8.7,5
White,7.1,0.23,0.37,2.2,0.028,17.0,98.0,0.98928,2.96,0.39,12.7,7
White,9.2,0.28,0.43,2.3,0.035,26.0,111.0,0.993,2.93,0.85,11.4,5
White,6.4,0.22,0.35,6.4,0.05,46.0,233.0,0.9956,3.22,0.44,9.9,6
White,7.3,0.205,0.24,15.9,0.048,51.0,209.0,0.99676,3.16,0.46,9.5,6
White,6.1,0.465,0.29,3.1,0.046,48.0,153.0,0.99264,3.27,0.64,11.5,7
White,7.2,0.25,0.42,1.3,0.044,19.0,95.0,0.99611,3.17,0.79,10.2,6
White,5.6,0.36,0.2,1.7,0.035,10.0,74.0,0.9918,3.31,0.48,12.2,5
Red,7.2,0.985,0.0,3.3,0.077,6.0,22.0,0.9978,3.59,0.58,9.9,4
White,6.4,0.34,0.15,8.7,0.048,57.0,193.0,0.99561,3.23,0.59,9.4,5
White,6.2,0.24,0.35,3.9,0.066,38.0,223.0,0.99573,3.01,0.62,9.4,5
White,6.6,0.64,0.14,10.5,0.043,48.0,223.0,0.9961,3.12,0.5,9.3,5
White,5.0,0.17,0.26,1.4,0.035,23.0,111.0,0.99088,3.36,0.53,11.4,6
White,7.8,0.16,0.32,5.75,0.043,47.0,149.0,0.9945,3.32,0.42,10.0,5
White,6.7,0.17,0.31,1.4,0.034,39.0,183.0,0.99372,3.29,0.45,10.5,6
White,6.6,0.31,0.37,10.3,0.036,28.0,112.0,0.9952,3.15,0.4,10.6,6
White,7.3,0.35,0.69,11.8,0.057,6.0,20.0,0.99527,3.12,0.35,11.5,6
White,7.4,0.31,0.26,7.0,0.028,28.0,123.0,0.995,3.09,0.33,9.4,5
White,7.3,0.16,0.28,1.1,0.026,34.0,112.0,0.99376,3.47,0.49,9.6,6
Red,7.5,0.35,0.22,2.3,0.211,3.0,38.0,0.99667,3.29,0.68,9.8,6
White,7.0,0.25,0.38,1.2,0.028,23.0,94.0,0.9892,3.23,0.55,12.8,6
White,6.0,0.28,0.26,1.4,0.039,22.0,201.0,0.9927,3.34,0.55,10.5,5
White,6.9,0.34,0.24,13.5,0.034,39.0,112.0,0.99846,3.16,0.5,9.1,6
White,7.5,0.26,0.21,5.3,0.054,110.0,236.0,0.995,3.22,0.4,10.2,5
White,5.7,0.31,0.06,5.5,0.042,36.0,132.0,0.99375,3.45,0.68,10.0,6
Red,7.7,0.36,0.21,1.6,0.089,10.0,38.0,0.9952,3.17,0.76,9.4,6
White,5.6,0.25,0.46,16.1,0.049,66.0,190.0,0.9966,3.26,0.51,10.5,6
Red,11.2,0.26,0.66,5.1,0.082,3.0,8.0,0.99804,3.23,1.02,10.9,7
White,6.3,0.34,0.28,1.1,0.035,19.0,71.0,0.9893,3.17,0.43,12.0,6
White,6.2,0.26,0.5,9.5,0.041,30.0,125.0,0.99568,3.06,0.49,9.5,6
White,6.3,0.16,0.37,7.3,0.035,19.0,79.0,0.99301,3.27,0.3,11.1,6
Red,8.9,0.54,0.27,1.6,0.075,15.0,50.0,0.99677,3.3,0.6,9.5,5
Red,8.1,0.56,0.23,4.7,0.08,20.0,108.0,0.9977,3.37,0.59,9.7,5
Red,7.3,0.32,0.43,3.3,0.058,12.0,36.0,0.99714,3.35,0.73,11.7,5
White,6.9,0.32,0.32,14.2,0.059,40.0,201.0,0.9966,3.17,0.53,10.1,5
White,6.0,0.31,0.17,1.5,0.036,17.0,63.0,0.99282,3.39,0.48,10.9,6
White,6.9,0.2,0.62,10.9,0.048,55.0,150.0,0.9945,3.19,0.61,9.8,6
White,7.9,0.18,0.41,10.6,0.037,29.0,118.0,0.9958,3.01,0.46,10.5,7
White,6.7,0.3,0.48,1.9,0.047,23.0,186.0,0.9946,3.33,0.62,10.4,5
Red,11.0,0.35,0.49,2.0,0.071,5.0,19.0,1.0002,3.19,0.72,11.3,7
Red,10.1,0.96,0.28,1.9,0.113,31.0,77.0,0.9992,3.18,0.72,10.5,6
White,8.0,0.3,0.48,16.3,0.05,35.0,228.0,0.9991,3.11,0.52,9.4,5
White,5.8,0.22,0.24,7.9,0.041,41.0,130.0,0.99378,3.24,0.4,9.4,5
White,6.8,0.15,0.66,10.9,0.043,27.0,133.0,0.9972,2.85,0.39,9.5,4
White,6.5,0.205,0.29,13.5,0.035,29.0,106.0,0.99678,3.3,0.4,9.3,5
Red,12.4,0.47,0.49,2.6,0.095,22.0,51.0,0.9996,3.16,1.06,12.0,6
Red,7.9,0.19,0.23,1.7,0.07,10.0,36.0,0.9972,3.22,0.84,9.7,6
White,6.3,0.21,0.25,12.1,0.045,67.0,185.0,0.99604,3.03,0.51,9.5,5
White,6.3,0.44,0.41,6.6,0.028,16.0,87.0,0.99066,3.16,0.59,13.0,7
Red,10.0,0.68,0.49,5.0,0.086,5.0,11.0,0.9997,3.11,0.57,10.0,5
Red,9.9,0.35,0.4,2.4,0.094,13.0,17.0,0.9976,3.24,0.85,11.4,5
Red,9.2,0.65,0.24,1.8,0.097,3.0,20.0,0.9958,3.25,0.58,9.4,4
White,7.2,0.4,0.37,3.3,0.02,20.0,86.0,0.98925,2.96,0.59,13.5,6
White,6.3,0.25,0.24,1.6,0.036,8.0,51.0,0.99248,3.17,0.4,10.4,4
White,8.1,0.28,0.37,3.0,0.031,13.0,98.0,0.9904,2.93,0.39,12.2,4
White,6.0,0.23,0.35,1.7,0.048,21.0,87.0,0.99046,3.28,0.43,11.5,7
Red,6.7,0.33,0.31,1.8,0.084,24.0,36.0,0.9961,3.37,0.48,9.8,5
White,7.6,0.3,0.28,0.7,0.077,29.5,186.0,0.9934,3.33,0.69,9.6,6
White,7.1,0.27,0.28,19.6,0.037,25.0,146.0,0.99735,3.13,0.52,9.7,6
White,7.0,0.34,0.16,6.9,0.042,18.0,123.0,0.99411,3.29,0.53,10.8,6
White,5.8,0.45,0.25,4.3,0.029,17.0,117.0,0.99018,3.48,0.42,11.5,5
White,7.3,0.22,0.34,11.0,0.047,45.0,163.0,0.9972,3.23,0.49,8.6,6
White,6.4,0.22,0.21,1.2,0.039,43.0,118.0,0.99098,3.09,0.46,11.4,6
White,6.1,0.23,0.32,1.9,0.038,40.0,109.0,0.98914,3.23,0.37,12.8,8
White,6.2,0.18,0.27,17.7,0.053,44.0,145.0,0.999,3.34,0.38,9.1,5
White,6.5,0.22,0.25,9.1,0.043,49.0,234.0,0.99578,3.33,0.4,10.4,5
Red,6.8,0.605,0.12,3.6,0.108,15.0,50.0,0.9952,3.23,0.52,11.2,6
White,12.3,0.4,0.42,1.2,0.048,29.0,164.0,0.9982,2.93,0.65,10.1,5
White,8.6,0.44,0.3,1.5,0.034,20.0,97.0,0.9925,2.9,0.44,11.5,5
White,7.2,0.28,0.48,8.6,0.04,41.0,192.0,0.9951,3.28,0.7,10.6,5
White,7.6,0.24,0.37,7.9,0.033,47.0,168.0,0.99268,3.12,0.59,11.8,6
White,7.8,0.22,0.4,1.2,0.046,8.0,104.0,0.9931,3.23,0.31,11.1,5
White,7.3,0.23,0.31,19.2,0.053,39.0,148.0,0.9986,3.22,0.58,9.1,5
White,7.8,0.26,0.27,2.1,0.063,45.0,117.0,0.9949,3.33,0.42,10.4,5
White,7.9,0.24,0.57,1.2,0.05,47.0,158.0,0.99197,3.04,0.46,10.4,6
Red,8.4,0.41,0.43,2.2,0.091,12.0,23.0,0.9954,3.3,0.53,11.5,6
Red,7.0,0.64,0.34,1.8,0.096,25.0,87.0,0.99558,3.3,0.54,9.4,5
White,6.0,0.33,0.2,7.6,0.03,53.0,155.0,0.99472,3.21,0.49,11.3,7
Red,9.2,0.66,0.34,2.4,0.088,21.0,30.0,0.999,3.29,0.61,10.5,5
