Color,fixed acidity2,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
White,7.2,0.23,0.23,8.31,0.039,24.0,180.0,0.997657,3.29,0.62,9.4,5
White,6.9,0.2,0.35,8.78,0.051,49.0,148.0,0.994583,3.0,0.5,10.8,6
White,6.7,0.29,0.24,1.61,0.035,17.0,115.0,0.989505,3.13,0.56,12.2,7
Red,7.9,0.4,0.63,1.71,0.067,7.0,12.0,0.996493,3.34,0.47,9.4,5
White,6.9,0.21,0.28,4.24,0.044,21.0,120.0,0.993595,3.35,0.61,10.5,6
White,7.5,0.27,0.37,1.75,0.032,20.0,173.0,0.99267,3.16,0.38,10.7,6
Red,9.4,0.71,0.03,1.8,0.078,14.0,19.0,0.996597,3.47,0.65,10.9,6
White,7.0,0.25,0.34,2.27,0.031,38.0,90.0,0.992726,3.23,0.38,12.5,6
White,7.6,0.39,0.4,6.29,0.038,22.0,126.0,0.993609,3.12,0.53,9.4,6
White,7.2,0.22,0.49,1.25,0.046,49.0,116.0,0.993362,3.75,0.95,9.3,7
White,6.5,0.25,0.52,8.81,0.053,57.0,201.0,0.996585,3.16,0.6,9.5,5
White,10.7,0.18,0.49,1.01,0.056,11.0,66.0,0.994073,3.06,0.61,10.4,6
White,8.6,0.18,0.27,7.09,0.053,46.0,155.0,0.991964,3.3,0.36,10.0,5
Red,9.4,0.45,0.48,3.75,0.057,12.0,14.0,0.997277,3.55,0.6,11.0,6
White,7.1,0.26,0.21,7.84,0.019,2.0,85.0,0.99073,3.03,0.37,9.5,6
White,7.1,0.33,0.29,5.8,0.057,40.0,68.0,0.995759,3.15,0.6,13.2,6
White,6.1,0.32,0.26,3.64,0.037,7.0,86.0,0.991539,3.34,0.44,12.8,5
White,7.2,0.3,0.3,15.46,0.058,31.0,163.0,0.996014,3.23,0.41,9.0,5
White,6.9,0.3,0.35,7.5,0.043,31.0,80.0,0.989441,3.36,0.53,9.6,7
White,6.3,0.25,0.35,1.86,0.034,14.0,163.0,0.993631,3.26,0.5,12.6,6
White,8.0,0.3,0.29,13.65,0.054,17.0,94.0,0.996206,3.12,0.48,9.4,5
White,5.5,0.35,0.34,1.47,0.027,70.0,112.0,0.989133,3.46,0.35,14.0,6
White,7.0,0.23,0.3,1.44,0.023,17.0,88.0,0.99352,3.25,0.45,12.4,6
Red,7.5,0.3,0.11,1.77,0.075,13.0,39.0,0.993249,3.41,0.5,11.8,7
White,5.6,0.21,0.35,1.19,0.145,36.0,167.0,0.991877,3.21,0.5,11.0,6
White,6.7,0.24,0.35,1.7,0.042,25.0,142.0,0.989265,2.98,0.59,9.4,6
White,6.6,0.25,0.32,12.66,0.035,34.0,163.0,0.996079,3.19,0.56,10.6,7
Red,6.6,0.69,0.02,2.24,0.064,7.0,15.0,0.996151,3.47,0.56,9.5,6
White,7.7,0.34,0.49,3.35,0.051,33.0,98.0,0.989173,3.11,0.37,11.5,7
White,7.7,0.3,0.34,1.74,0.053,7.0,148.0,0.998287,3.01,0.44,9.1,5
White,5.8,0.16,0.3,13.82,0.04,34.0,173.0,0.998303,3.3,0.43,9.1,5
White,7.6,0.38,0.32,4.06,0.039,15.0,64.0,0.992606,3.07,0.72,9.6,7
White,6.6,0.16,0.3,2.21,0.039,39.0,123.0,0.991667,3.22,0.39,10.2,6
White,7.2,0.25,0.67,13.02,0.043,24.0,215.0,0.99781,3.12,0.44,9.0,6
White,7.0,0.54,0.34,12.1,0.046,68.0,143.0,0.996223,3.25,0.62,9.2,5
White,6.6,0.19,0.28,11.92,0.043,55.0,131.0,0.995195,3.17,0.56,10.2,5
White,6.7,0.27,0.34,6.94,0.041,20.0,78.0,0.992518,3.23,0.44,8.6,5
White,6.4,0.18,0.69,1.7,0.036,19.0,118.0,0.991646,3.39,0.39,10.8,6
White,8.6,0.3,0.3,3.05,0.04,29.0,109.0,0.990985,3.36,0.41,12.9,6
White,8.8,0.19,0.36,1.26,0.069,39.0,143.0,0.992436,3.1,0.5,9.4,6
Red,7.3,0.35,0.49,2.45,0.087,19.0,62.0,0.999243,3.08,0.78,10.7,6
Red,10.7,0.82,0.55,1.6,0.086,23.0,49.0,0.996781,3.38,1.34,9.6,6
White,7.9,0.28,0.46,15.35,0.052,32.0,151.0,0.999844,3.22,0.44,8.8,5
Red,7.5,0.23,0.23,14.55,0.103,42.0,173.0,0.996252,3.05,0.44,9.2,6
White,7.1,0.4,0.16,6.92,0.049,33.0,227.0,0.989998,3.51,0.63,11.5,7
White,7.0,0.22,0.35,2.92,0.037,60.0,92.0,0.989769,3.14,0.38,12.0,6
White,6.6,0.24,0.37,11.36,0.036,18.0,214.0,0.994777,3.08,0.53,12.6,6
Red,11.7,0.84,0.59,2.48,0.067,5.0,19.0,0.996956,2.94,0.91,10.4,6
White,6.2,0.17,0.33,1.27,0.037,40.0,131.0,0.991839,3.27,0.46,9.8,5
Red,7.9,0.2,0.15,12.61,0.103,72.0,230.0,0.992072,3.09,0.35,9.1,5
White,6.6,0.27,0.23,7.49,0.032,20.0,203.0,0.994015,3.12,0.64,12.5,6
White,7.6,0.48,0.34,1.88,0.052,17.0,133.0,0.993952,3.22,0.7,10.6,5
White,7.2,0.25,0.71,13.18,0.05,53.0,148.0,0.995779,3.21,0.56,9.3,6
White,6.9,0.15,0.44,2.14,0.042,63.0,73.0,0.993004,3.1,0.73,11.2,7
Red,6.2,0.35,0.24,1.56,0.096,15.0,38.0,0.997393,3.15,0.6,11.3,7
White,7.5,0.29,0.0,0.82,0.05,24.0,156.0,0.993665,3.2,0.41,12.2,5
White,6.5,0.23,0.5,10.5,0.051,36.0,119.0,0.993921,3.14,0.43,9.5,6
White,7.0,0.21,0.5,3.06,0.044,42.0,129.0,0.991297,3.23,0.45,10.1,5
White,6.9,0.38,0.38,1.21,0.048,8.0,122.0,0.993106,3.31,0.59,11.0,5
White,6.8,0.26,0.28,4.07,0.038,30.0,123.0,0.992445,3.31,0.39,11.5,7
White,5.7,0.28,0.19,1.24,0.03,25.0,120.0,0.989143,2.96,0.36,12.9,6
Red,7.6,0.63,0.03,1.87,0.105,18.0,37.0,0.995442,3.42,0.59,10.8,6
White,6.3,0.24,0.14,7.51,0.039,41.0,145.0,0.996123,3.3,0.5,8.7,5
Red,8.2,0.32,0.3,1.08,0.069,15.0,182.0,0.996908,3.01,0.45,9.2,6
White,5.1,0.36,0.25,2.19,0.035,38.0,109.0,0.98951,3.32,0.54,10.5,8
White,7.0,0.34,0.32,1.4,0.033,47.0,152.0,0.99702,3.44,0.4,12.4,6
White,6.3,0.32,0.26,2.97,0.034,19.0,99.0,0.992146,3.25,0.51,12.2,5
White,7.5,0.19,0.41,10.23,0.047,42.0,148.0,0.993053,3.48,0.48,9.3,6
White,7.7,0.27,0.33,3.32,0.116,60.0,117.0,0.995579,3.16,0.54,9.2,6
Red,8.1,0.26,-0.0,1.48,0.081,7.0,15.0,0.996824,3.27,0.63,9.6,6
White,7.3,0.18,0.3,8.17,0.044,47.0,133.0,0.995882,3.26,0.44,9.5,6
White,5.9,0.23,0.67,2.51,0.032,12.0,192.0,0.992615,3.19,0.49,9.0,5
White,7.5,0.24,0.32,1.14,0.058,52.0,177.0,0.997466,3.21,0.47,8.8,7
White,6.5,0.27,0.28,1.51,0.053,42.0,131.0,0.99317,3.18,0.52,10.3,5
White,7.6,0.36,0.26,1.25,0.069,29.0,117.0,0.993163,3.03,0.48,9.4,5
White,7.8,0.57,0.23,2.07,0.073,14.0,10.0,0.999151,3.29,0.48,9.8,5
Red,7.7,0.45,0.03,1.58,0.063,10.0,29.0,0.995003,3.38,0.53,11.0,5
Red,10.0,0.34,0.51,2.13,0.413,6.0,7.0,1.000688,3.12,0.66,11.0,6
White,8.2,0.22,0.29,1.39,0.048,69.0,99.0,0.997264,3.12,0.35,9.0,7
Red,7.6,0.73,0.49,2.47,0.186,7.0,26.0,0.99756,3.39,0.64,9.6,5
White,6.8,0.23,0.49,9.04,0.032,29.0,158.0,0.994941,2.99,0.5,11.3,6
White,5.8,0.36,0.34,1.28,0.054,11.0,146.0,0.9936,3.42,0.39,11.2,7
Red,8.7,0.76,0.0,2.41,0.091,8.0,18.0,0.997396,3.26,0.98,9.5,5
